id,year,number,title,citation,link,source
pub-025,2022,9,"Kyungsu Lee, Jaeseung Yang, Haeyun Lee, Jae Youn Hwang*, “Stochastic Adaptive Activation Function“, Conference","Kyungsu Lee, Jaeseung Yang, Haeyun Lee, Jae Youn Hwang*, “Stochastic Adaptive Activation Function“, Conference on Neural Information Processing Systems (NeurIPS), 2022",https://scholar.google.com/scholar?q=Kyungsu%20Lee%2C%20Jaeseung%20Yang%2C%20Haeyun%20Lee%2C%20Jae%20Youn%20Hwang%2A%2C%20%E2%80%9CStochastic%20Adaptive%20Activation%20Function%E2%80%9C%2C%20Conference,MBIS Lab Publications page
pub-026,2022,10,CSS-Net: Classification and Substitution for Segmentation of Rotator Cuff Tear,"Kyungsu Lee, Hah Min Lew, Moon Hwan Lee, Jun-Young Kim, Jae Youn Hwang*, “CSS-Net: Classification and Substitution for Segmentation of Rotator Cuff Tear”, The Asian Conference on Computer Vision (ACCV), 2022",https://scholar.google.com/scholar?q=CSS-Net%3A%20Classification%20and%20Substitution%20for%20Segmentation%20of%20Rotator%20Cuff%20Tear,MBIS Lab Publications page
pub-027,2021,1,Boundary-Oriented Binary Building Segmentation Model with Two Scheme Learning for Aerial Images,"Kyungsu Lee, Junhee Kim, Haeyun Lee, Juhum Park, Jihwan P. Choi*, Jae Youn Hwang*, “Boundary-Oriented Binary Building Segmentation Model with Two Scheme Learning for Aerial Images”, IEEE Transactions on Geoscience & Remote Sensing, 2021",https://scholar.google.com/scholar?q=Boundary-Oriented%20Binary%20Building%20Segmentation%20Model%20with%20Two%20Scheme%20Learning%20for%20Aerial%20Images,MBIS Lab Publications page
pub-028,2021,2,An Energy-Replenishing Ultrasound Pulser with 0.25CV2f Dynamic Power Consumption,"J. Choi, Y. Park, J. B. Oh, J-Y. Kim, Jae Youn Hwang, S. Ha, C. Kim, M. Je, “An Energy-Replenishing Ultrasound Pulser with 0.25CV2f Dynamic Power Consumption”, 2021 IEEE International Solid-State Circuits Conference",https://scholar.google.com/scholar?q=An%20Energy-Replenishing%20Ultrasound%20Pulser%20with%200.25CV2f%20Dynamic%20Power%20Consumption,MBIS Lab Publications page
pub-029,2021,3,Local Similarity Siamese Network for Urban Use Change Detection on Aerial Images,"Haeyun Lee, Kyungsu Lee, Junhee Kim, Younghwan Na, Juhum Park, Jihwan P. Choi, Jae Youn Hwang*, “Local Similarity Siamese Network for Urban Use Change Detection on Aerial Images”, IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, 2021",https://scholar.google.com/scholar?q=Local%20Similarity%20Siamese%20Network%20for%20Urban%20Use%20Change%20Detection%20on%20Aerial%20Images,MBIS Lab Publications page
pub-030,2021,4,Development of deep learning-based holographic ultrasound generation algorithm (Deep-HUG),"Moon Hwan Lee and Jae Youn Hwang*, “Development of deep learning-based holographic ultrasound generation algorithm (Deep-HUG)”, The Journal of the Acoustical Society of Korea, 41(2), 2021",https://scholar.google.com/scholar?q=Development%20of%20deep%20learning-based%20holographic%20ultrasound%20generation%20algorithm%20%28Deep-HUG%29,MBIS Lab Publications page
pub-031,2021,5,Ultrasonic Blood Flowmeter with a Novel Xero Algorithm for a Mechanical Circulatory Support System,"Hah Min Lew, Heean Shin, Moon Hwan Lee, Sangyeon Youn, Hee Chan Kim, and Jae Youn Hwang*, “Ultrasonic Blood Flowmeter with a Novel Xero Algorithm for a Mechanical Circulatory Support System”, Ultrasonics, 2021",https://scholar.google.com/scholar?q=Ultrasonic%20Blood%20Flowmeter%20with%20a%20Novel%20Xero%20Algorithm%20for%20a%20Mechanical%20Circulatory%20Support%20System,MBIS Lab Publications page
pub-032,2021,6,Imbalanced Loss-Integrated Deep-Learning-Based Ultrasound Image Analysis for Diagnosis of Rotator-Cuff Tear,"Kyungsu Lee, JunYoung Kim, Moon Hwan Lee, ChangHuk Choi, and Jae Youn Hwang*, “Imbalanced Loss-Integrated Deep-Learning-Based Ultrasound Image Analysis for Diagnosis of Rotator-Cuff Tear”, Sensors, 2021",https://scholar.google.com/scholar?q=Imbalanced%20Loss-Integrated%20Deep-Learning-Based%20Ultrasound%20Image%20Analysis%20for%20Diagnosis%20of%20Rotator-Cuff%20Tear,MBIS Lab Publications page
pub-033,2021,7,Effects of transcranial ultrasound stimulation pulsed at 40 Hz on Aβ plaques and brain rhythms in 5×XFAD mice,"Mincheol Park⁺, Gia Minh Hoang⁺, Thien Nguyen, Eunkyung Lee, Hyun Jin Jung, Youngshik Choe, Moon Hwan Lee, Jae Youn Hwang, Jae Gwan Kim, Tae Kim*, “Effects of transcranial ultrasound stimulation pulsed at 40 Hz on Aβ plaques and brain rhythms in 5×XFAD mice” Translational Neurodegeneration, 2021",https://scholar.google.com/scholar?q=Effects%20of%20transcranial%20ultrasound%20stimulation%20pulsed%20at%2040%20Hz%20on%20A%CE%B2%20plaques%20and%20brain%20rhythms%20in%205%C3%97XFAD%20mice,MBIS Lab Publications page
pub-034,2021,8,Self-Mutating Network for Domain Adaptive Segmentation in Aerial Images,"Kyungsu Lee, HaeYun Lee, Jae Youn Hwang*, “Self-Mutating Network for Domain Adaptive Segmentation in Aerial Images” International Conference on Computer Vision (ICCV), 2021",https://scholar.google.com/scholar?q=Self-Mutating%20Network%20for%20Domain%20Adaptive%20Segmentation%20in%20Aerial%20Images,MBIS Lab Publications page
